drug_id,input_drug_name,molecule_chembl_id,preferred_name,canonical_smiles,standard_inchikey,target_chembl_id,target_name,target_type,target_class,receptor_subtype,assay_chembl_id,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value,organism,document_chembl_id,reference,source,src_id,activity_id,record_id,api_retrieved_at,chembl_version
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL680658,B,Ki,=,4.9,nM,8.31,Rattus norvegicus,CHEMBL1129282,CHEMBL1129282 J Med Chem 1996,LITERATURE,1,351488,81572,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL685373,B,[35S] TBPS shift,=,1.0,,,Rattus norvegicus,CHEMBL1129282,CHEMBL1129282 J Med Chem 1996,LITERATURE,1,351489,81572,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL2095172,GABA-A receptor; alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,composite_target,alpha1/beta2/gamma2,CHEMBL677024,B,Ki,=,13.0,nM,7.89,Homo sapiens,CHEMBL1129282,CHEMBL1129282 J Med Chem 1996,LITERATURE,1,351492,81572,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL2111339,GABA A receptor alpha-3/beta-2/gamma-2,PROTEIN COMPLEX,composite_target,alpha3/beta2/gamma2,CHEMBL683022,B,Ki,=,10.0,nM,8.0,Homo sapiens,CHEMBL1129282,CHEMBL1129282 J Med Chem 1996,LITERATURE,1,351493,81572,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL2111370,GABA A receptor alpha-6/beta-2/gamma-2,PROTEIN COMPLEX,composite_target,alpha6/beta2/gamma2,CHEMBL685347,B,Ki,>,7000.0,nM,,Homo sapiens,CHEMBL1129282,CHEMBL1129282 J Med Chem 1996,LITERATURE,1,351494,81572,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL652732,B,IC50,=,6.0,nM,8.22,Rattus norvegicus,CHEMBL1125133,CHEMBL1125133 J Med Chem 1990,LITERATURE,1,357786,97260,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL650874,B,IC50,=,5.4,nM,8.27,Rattus norvegicus,CHEMBL1122390,CHEMBL1122390 J Med Chem 1983,LITERATURE,1,372154,66045,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL681560,B,Displacement,=,33.0,%,,Rattus norvegicus,CHEMBL1132818,CHEMBL1132818 Bioorg Med Chem Lett 2000,LITERATURE,1,389956,156747,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL681003,B,Displacement,=,25.0,%,,Rattus norvegicus,CHEMBL1132818,CHEMBL1132818 Bioorg Med Chem Lett 2000,LITERATURE,1,389957,156747,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL681564,B,Displacement,=,-13.0,%,,Rattus norvegicus,CHEMBL1132818,CHEMBL1132818 Bioorg Med Chem Lett 2000,LITERATURE,1,389958,156747,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
