evidence_id,drug_id,input_drug_name,molecule_chembl_id,gtopdb_ligand_id,receptor_composition,target_id,target_name,target_type,species,metric,value,value_low,value_high,unit,assay,reference_id,PMID,DOI,reference,source_database,source_record_id,alpha_subtype,beta_subtype,gamma_subtype,other_subunits,duplicate_group_id,duplicate_candidate
chembl:38,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,6.0,,,nM,CHEMBL652730,CHEMBL1124933,,,CHEMBL1124933 J Med Chem 1990,ChEMBL,441406,,,,,,False
chembl:39,diazepam,Diazepam,CHEMBL12,,alpha1/beta2/gamma2,CHEMBL2095172,GABA-A receptor; alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,12.0,,,nM,CHEMBL677847,CHEMBL1133060,,,CHEMBL1133060 Bioorg Med Chem Lett 2000,ChEMBL,442386,alpha1,beta2,gamma2,,,False
chembl:40,diazepam,Diazepam,CHEMBL12,,alpha2/beta3/gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,6.6,,,nM,CHEMBL682708,CHEMBL1133060,,,CHEMBL1133060 Bioorg Med Chem Lett 2000,ChEMBL,442387,alpha2,beta3,gamma2,,,False
chembl:41,diazepam,Diazepam,CHEMBL12,,alpha3/beta3/gamma2,CHEMBL2094120,GABA-A receptor; alpha-3/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,33.0,,,nM,CHEMBL680431,CHEMBL1133060,,,CHEMBL1133060 Bioorg Med Chem Lett 2000,ChEMBL,442388,alpha3,beta3,gamma2,,,False
chembl:42,diazepam,Diazepam,CHEMBL12,,alpha1/beta2/gamma2,CHEMBL2095172,GABA-A receptor; alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,Homo sapiens,Efficacy,157.0,,,%,CHEMBL679559,CHEMBL1133060,,,CHEMBL1133060 Bioorg Med Chem Lett 2000,ChEMBL,442389,alpha1,beta2,gamma2,,,False
chembl:43,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ki,10.5,,,nM,CHEMBL653111,CHEMBL1129075,,,CHEMBL1129075 J Med Chem 1996,ChEMBL,454337,,,,,,False
chembl:44,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,GABA ratio,1.5,,,,CHEMBL656130,CHEMBL1129075,,,CHEMBL1129075 J Med Chem 1996,ChEMBL,454338,,,,,,False
chembl:45,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ki,5.0,,,nM,CHEMBL652562,CHEMBL1122149,,,CHEMBL1122149 J Med Chem 1982,ChEMBL,457807,,,,,,False
chembl:46,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ki,2.9,,,nM,CHEMBL653129,CHEMBL1123044,,,CHEMBL1123044 J Med Chem 1985,ChEMBL,466921,,,,,,False
chembl:47,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,GABA ratio,2.3,,,,CHEMBL842707,CHEMBL1123044,,,CHEMBL1123044 J Med Chem 1985,ChEMBL,466922,,,,,,False
chembl:48,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ki,7.0,,,nM,CHEMBL651408,CHEMBL1151600,,,CHEMBL1151600 Bioorg Med Chem Lett 1997,ChEMBL,485896,,,,,,False
chembl:49,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,GABA shift,2.0,,,,CHEMBL656131,CHEMBL1151600,,,CHEMBL1151600 Bioorg Med Chem Lett 1997,ChEMBL,485897,,,,,,False
