drug,receptor_block,seed,source_file,snapshot_file,sha256,docking_manifest_sha256,archive_member_sha256,n_models,n_result_records,n_valid_records,expected_n_poses,n_issues,file_status
lorazepam,alpha1,2026091902,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha1/2026091902/poses.pdbqt,data/pdbqt/lorazepam/alpha1/2026091902/poses.pdbqt,910eea1102a3d120cc80bca028a409434ae0ee5987cda0e8aeac10fb72ddf24f,910eea1102a3d120cc80bca028a409434ae0ee5987cda0e8aeac10fb72ddf24f,910eea1102a3d120cc80bca028a409434ae0ee5987cda0e8aeac10fb72ddf24f,9,9,9,9,0,ok
lorazepam,alpha1,2026091903,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha1/2026091903/poses.pdbqt,data/pdbqt/lorazepam/alpha1/2026091903/poses.pdbqt,2a6dd1d5c3d8ad404c719139a4d192d2127883e299bad375098b63c4a56aa442,2a6dd1d5c3d8ad404c719139a4d192d2127883e299bad375098b63c4a56aa442,2a6dd1d5c3d8ad404c719139a4d192d2127883e299bad375098b63c4a56aa442,9,9,9,9,0,ok
lorazepam,alpha1,2026091904,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha1/2026091904/poses.pdbqt,data/pdbqt/lorazepam/alpha1/2026091904/poses.pdbqt,a80ef8990cf9533c3b71001dfedd482388f90da7b18d85520927a79972b5040a,a80ef8990cf9533c3b71001dfedd482388f90da7b18d85520927a79972b5040a,a80ef8990cf9533c3b71001dfedd482388f90da7b18d85520927a79972b5040a,9,9,9,9,0,ok
lorazepam,alpha1,2026091905,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha1/2026091905/poses.pdbqt,data/pdbqt/lorazepam/alpha1/2026091905/poses.pdbqt,54baeb35a1ce331ec0cd12d464dd32a77be8350e7aa51ac95e3854c93d313780,54baeb35a1ce331ec0cd12d464dd32a77be8350e7aa51ac95e3854c93d313780,54baeb35a1ce331ec0cd12d464dd32a77be8350e7aa51ac95e3854c93d313780,9,9,9,9,0,ok
lorazepam,alpha2,2026091901,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha2/2026091901/poses.pdbqt,data/pdbqt/lorazepam/alpha2/2026091901/poses.pdbqt,5fad7f67383123f8d631729ae736b67197a2952a760b3f56e9bc12f1e4ea5f03,5fad7f67383123f8d631729ae736b67197a2952a760b3f56e9bc12f1e4ea5f03,5fad7f67383123f8d631729ae736b67197a2952a760b3f56e9bc12f1e4ea5f03,9,9,9,9,0,ok
lorazepam,alpha2,2026091902,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha2/2026091902/poses.pdbqt,data/pdbqt/lorazepam/alpha2/2026091902/poses.pdbqt,9c21ef066eb3f22e5ce4d96e4b2c73700103a828af6f52f33b461be6ba11c14f,9c21ef066eb3f22e5ce4d96e4b2c73700103a828af6f52f33b461be6ba11c14f,9c21ef066eb3f22e5ce4d96e4b2c73700103a828af6f52f33b461be6ba11c14f,9,9,9,9,0,ok
lorazepam,alpha2,2026091903,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha2/2026091903/poses.pdbqt,data/pdbqt/lorazepam/alpha2/2026091903/poses.pdbqt,d984432d53ca8f3ac85cf6d20382a9b3c73482625a01ebbfbab848b3d6e41e6b,d984432d53ca8f3ac85cf6d20382a9b3c73482625a01ebbfbab848b3d6e41e6b,d984432d53ca8f3ac85cf6d20382a9b3c73482625a01ebbfbab848b3d6e41e6b,9,9,9,9,0,ok
lorazepam,alpha2,2026091904,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha2/2026091904/poses.pdbqt,data/pdbqt/lorazepam/alpha2/2026091904/poses.pdbqt,29e1fb1fda22777ad6c45df27ffbd38e04d3e0bd614e7b6c1d8669bf97f12f36,29e1fb1fda22777ad6c45df27ffbd38e04d3e0bd614e7b6c1d8669bf97f12f36,29e1fb1fda22777ad6c45df27ffbd38e04d3e0bd614e7b6c1d8669bf97f12f36,9,9,9,9,0,ok
lorazepam,alpha2,2026091905,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha2/2026091905/poses.pdbqt,data/pdbqt/lorazepam/alpha2/2026091905/poses.pdbqt,701392677fe4722c1563b0c0c4d8f7598feed132f8ad2770781948d7027e9ec6,701392677fe4722c1563b0c0c4d8f7598feed132f8ad2770781948d7027e9ec6,701392677fe4722c1563b0c0c4d8f7598feed132f8ad2770781948d7027e9ec6,9,9,9,9,0,ok
clonazepam,alpha1,2026091901,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha1/2026091901/poses.pdbqt,data/pdbqt/clonazepam/alpha1/2026091901/poses.pdbqt,2d1418f645a18c8cac8b2cc64c14272381d7586c48d0fff62d1b16aaf186265e,2d1418f645a18c8cac8b2cc64c14272381d7586c48d0fff62d1b16aaf186265e,2d1418f645a18c8cac8b2cc64c14272381d7586c48d0fff62d1b16aaf186265e,9,9,9,9,0,ok
clonazepam,alpha1,2026091902,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha1/2026091902/poses.pdbqt,data/pdbqt/clonazepam/alpha1/2026091902/poses.pdbqt,e8370a918a5edd463de3bf1b980e591a37ab647da12b94217e970aba2baa40b1,e8370a918a5edd463de3bf1b980e591a37ab647da12b94217e970aba2baa40b1,e8370a918a5edd463de3bf1b980e591a37ab647da12b94217e970aba2baa40b1,9,9,9,9,0,ok
clonazepam,alpha1,2026091903,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha1/2026091903/poses.pdbqt,data/pdbqt/clonazepam/alpha1/2026091903/poses.pdbqt,9ac57820ff6a04d5fd35b3d9873294a3f42efc113877c7128ca5aa3f81caa892,9ac57820ff6a04d5fd35b3d9873294a3f42efc113877c7128ca5aa3f81caa892,9ac57820ff6a04d5fd35b3d9873294a3f42efc113877c7128ca5aa3f81caa892,9,9,9,9,0,ok
clonazepam,alpha1,2026091904,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha1/2026091904/poses.pdbqt,data/pdbqt/clonazepam/alpha1/2026091904/poses.pdbqt,48714143541b9e5ff88450741cc6bd5e90477373cdb87e6966cbf0c7e9108380,48714143541b9e5ff88450741cc6bd5e90477373cdb87e6966cbf0c7e9108380,48714143541b9e5ff88450741cc6bd5e90477373cdb87e6966cbf0c7e9108380,9,9,9,9,0,ok
