drug,adverse_event_term,phenotype_axis,report_count,total_drug_reports,background_event_reports,background_total,generic_only_total,role_cod,suspect_status,sex,age,country,report_date_quarter,seriousness,source_dataset,query,retrieval_date
triazolam,Sedation,C3,13,3893,24810,20018532,3893,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22TRIAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22TRIAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22SEDATION%22&limit=1,2026-09-20T01:53:34.748492+00:00
triazolam,Dizziness,C4,131,3893,477766,20018532,3893,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22TRIAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22TRIAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22DIZZINESS%22&limit=1,2026-09-20T01:53:41.187815+00:00
triazolam,Vertigo,C4,20,3893,58684,20018532,3893,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22TRIAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22TRIAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22VERTIGO%22&limit=1,2026-09-20T01:53:46.399138+00:00
triazolam,Muscular weakness,C5,35,3893,109349,20018532,3893,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22TRIAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22TRIAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22MUSCULAR+WEAKNESS%22&limit=1,2026-09-20T01:53:48.678243+00:00
triazolam,Hypotonia,C5,2,3893,9684,20018532,3893,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22TRIAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22TRIAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22HYPOTONIA%22&limit=1,2026-09-20T01:53:49.818127+00:00
triazolam,Amnesia,C6,32,3893,63053,20018532,3893,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22TRIAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22TRIAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22AMNESIA%22&limit=1,2026-09-20T01:53:50.622162+00:00
triazolam,Memory impairment,C6,32,3893,132715,20018532,3893,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22TRIAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22TRIAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22MEMORY+IMPAIRMENT%22&limit=1,2026-09-20T01:54:00.279057+00:00
triazolam,Cognitive disorder,C6,19,3893,44588,20018532,3893,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22TRIAZOLAM%22+OR+patient.drug.medicinalproduct.exact%3A%22TRIAZOLAM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22COGNITIVE+DISORDER%22&limit=1,2026-09-20T01:54:02.099625+00:00
zolpidem,Ataxia,C1,101,49105,11464,20018532,0,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22ZOLPIDEM%22+OR+patient.drug.medicinalproduct.exact%3A%22ZOLPIDEM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22ATAXIA%22&limit=1,2026-09-20T01:53:35.270146+00:00
zolpidem,Balance disorder,C1,392,49105,83538,20018532,0,NA,all roles; target-specific suspect not inferred,ALL; marginal table only,ALL; marginal table only,ALL; marginal table only,2004-01-01 through 2025-12-31 receivedate,ALL; marginal table only,openFDA FAERS report documents,https://api.fda.gov/drug/event.json?search=receivedate%3A%5B20040101+TO+20251231%5D+AND+%28patient.drug.openfda.generic_name.exact%3A%22ZOLPIDEM%22+OR+patient.drug.medicinalproduct.exact%3A%22ZOLPIDEM%22%29+AND+patient.reaction.reactionmeddrapt.exact%3A%22BALANCE+DISORDER%22&limit=1,2026-09-20T01:53:37.145933+00:00
