drug_id,input_drug_name,molecule_chembl_id,target_alpha1_chembl_id,target_alpha2_chembl_id,alpha1_assay_chembl_id,alpha2_assay_chembl_id,alpha1_document_chembl_id,alpha2_document_chembl_id,same_document,same_standard_type,same_unit,pair_priority,pair_basis,standard_type,alpha1_standard_relation,alpha2_standard_relation,alpha1_standard_value,alpha2_standard_value,standard_units,alpha1_pchembl_value,alpha2_pchembl_value,ki_alpha2_over_alpha1,chembl_version,api_retrieved_at,pair_rank
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL677034,CHEMBL919088,CHEMBL1148356,CHEMBL1139460,False,True,True,2,same_standard_type_unit,Ki,=,=,14.3,20.0,nM,7.84,7.7,1.3986013986013985,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,39
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL677034,CHEMBL6080338,CHEMBL1148356,CHEMBL6078658,False,True,True,2,same_standard_type_unit,Ki,=,=,14.3,22.0,nM,7.84,7.66,1.5384615384615383,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,40
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL864002,CHEMBL682708,CHEMBL1148587,CHEMBL1133060,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,6.6,nM,7.89,8.18,0.5076923076923077,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,41
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL864002,CHEMBL681248,CHEMBL1148587,CHEMBL1132940,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,20.0,nM,7.89,7.7,1.5384615384615385,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,42
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL864002,CHEMBL681841,CHEMBL1148587,CHEMBL1149126,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,20.0,nM,7.89,7.7,1.5384615384615385,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,43
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL864002,CHEMBL682709,CHEMBL1148587,CHEMBL1148356,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,26.2,nM,7.89,7.58,2.0153846153846153,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,44
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL864002,CHEMBL829005,CHEMBL1148587,CHEMBL1142695,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,6.6,nM,7.89,8.18,0.5076923076923077,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,45
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL864002,CHEMBL853070,CHEMBL1148587,CHEMBL1149444,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,33.0,nM,7.89,7.48,2.5384615384615383,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,46
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL864002,CHEMBL919088,CHEMBL1148587,CHEMBL1139460,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,20.0,nM,7.89,7.7,1.5384615384615385,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,47
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL864002,CHEMBL6080338,CHEMBL1148587,CHEMBL6078658,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,22.0,nM,7.89,7.66,1.6923076923076923,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,48
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL676826,CHEMBL682708,CHEMBL1149126,CHEMBL1133060,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,6.6,nM,7.85,8.18,0.4714285714285714,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,49
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL676826,CHEMBL681248,CHEMBL1149126,CHEMBL1132940,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,20.0,nM,7.85,7.7,1.4285714285714286,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,50
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL676826,CHEMBL682709,CHEMBL1149126,CHEMBL1148356,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,26.2,nM,7.85,7.58,1.8714285714285714,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,51
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL676826,CHEMBL829005,CHEMBL1149126,CHEMBL1142695,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,6.6,nM,7.85,8.18,0.4714285714285714,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,52
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL676826,CHEMBL864003,CHEMBL1149126,CHEMBL1148587,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,6.6,nM,7.85,8.18,0.4714285714285714,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,53
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL676826,CHEMBL853070,CHEMBL1149126,CHEMBL1149444,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,33.0,nM,7.85,7.48,2.357142857142857,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,54
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL676826,CHEMBL919088,CHEMBL1149126,CHEMBL1139460,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,20.0,nM,7.85,7.7,1.4285714285714286,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,55
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL676826,CHEMBL6080338,CHEMBL1149126,CHEMBL6078658,False,True,True,2,same_standard_type_unit,Ki,=,=,14.0,22.0,nM,7.85,7.66,1.5714285714285714,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,56
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL853068,CHEMBL682708,CHEMBL1149444,CHEMBL1133060,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,6.6,nM,7.89,8.18,0.5076923076923077,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,57
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL853068,CHEMBL681248,CHEMBL1149444,CHEMBL1132940,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,20.0,nM,7.89,7.7,1.5384615384615385,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,58
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL853068,CHEMBL681841,CHEMBL1149444,CHEMBL1149126,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,20.0,nM,7.89,7.7,1.5384615384615385,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,59
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL853068,CHEMBL682709,CHEMBL1149444,CHEMBL1148356,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,26.2,nM,7.89,7.58,2.0153846153846153,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,60
