target_chembl_id,target_name,target_type,organism,receptor_subtype,target_class
CHEMBL4106151,GABA-A receptor alpha-1/beta-3,PROTEIN COMPLEX,Homo sapiens,alpha1/beta3,composite_target
CHEMBL4106157,GABA-A receptor alpha-4/beta-3/delta,PROTEIN COMPLEX,Homo sapiens,alpha4/beta3/delta,composite_target
CHEMBL4680049,GABA-A receptor alpha-1/beta-1,PROTEIN COMPLEX,Bos taurus,alpha1/beta1,composite_target
CHEMBL5303569,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Canis lupus familiaris,,generic_gabaa_target
CHEMBL2111413,GABA A receptor alpha-2/beta-2/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha2/beta2/gamma2,composite_target
CHEMBL2111327,GABA A receptor alpha-2/beta-2/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,alpha2/beta2/gamma2,composite_target
CHEMBL2111339,GABA A receptor alpha-3/beta-2/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha3/beta2/gamma2,composite_target
CHEMBL2111343,GABA A receptor alpha-3/beta-2/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,alpha3/beta2/gamma2,composite_target
CHEMBL2111370,GABA A receptor alpha-6/beta-2/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha6/beta2/gamma2,composite_target
CHEMBL2111374,GABA A receptor alpha-5/beta-3/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,alpha5/beta3/gamma2,composite_target
CHEMBL2111392,GABA A receptor alpha-1/beta-1/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha1/beta1/gamma2,composite_target
CHEMBL2111365,GABA A receptor alpha-6/beta-2/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,alpha6/beta2/gamma2,composite_target
CHEMBL2111366,GABA A receptor alpha-4/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha4/beta3/gamma2,composite_target
