activity_id,qc_flags,molecule_chembl_id,source_request_id,source_json_pointer
1876214,"[""assay_target_subunit_text_discrepancy_review"", ""assay_target_subunit_conflict_review"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/76
2278236,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/77
2278237,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/78
2278239,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/79
2461331,"[""not_specific_protein_complex"", ""assay_target_subunit_text_discrepancy_review"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/80
2633954,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/81
2633999,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/82
5118861,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/83
5118869,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/84
5118875,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/85
5118876,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/86
5118878,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/87
5118880,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/88
5118919,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/89
5118923,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/90
12662656,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/91
15133382,"[""missing_standard_value"", ""missing_standard_units"", ""missing_standard_relation"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/92
19039236,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/93
19259362,"[""not_specific_protein_complex"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/94
22823128,"[""censored_or_nonexact_relation"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/95
22823144,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/96
24758855,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/97
24843214,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/98
24843256,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/99
24851231,"[""missing_standard_value"", ""missing_standard_units"", ""missing_standard_relation"", ""no_structured_assay_parameters""]",CHEMBL12,request_00012,/activities/0
25013383,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00012,/activities/1
29082441,"[""no_structured_assay_parameters""]",CHEMBL12,request_00012,/activities/2
29082452,"[""no_structured_assay_parameters""]",CHEMBL12,request_00012,/activities/3
29089169,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00012,/activities/4
29089227,"[""no_structured_assay_parameters""]",CHEMBL12,request_00012,/activities/5
29089238,"[""no_structured_assay_parameters""]",CHEMBL12,request_00012,/activities/6
29089249,"[""no_structured_assay_parameters""]",CHEMBL12,request_00012,/activities/7
29089260,"[""no_structured_assay_parameters""]",CHEMBL12,request_00012,/activities/8
320286,"[""no_structured_assay_parameters""]",CHEMBL12,request_00013,/activities/0
320289,"[""censored_or_nonexact_relation"", ""no_structured_assay_parameters""]",CHEMBL12,request_00013,/activities/1
320292,"[""no_structured_assay_parameters""]",CHEMBL12,request_00013,/activities/2
320293,"[""no_structured_assay_parameters""]",CHEMBL12,request_00013,/activities/3
320294,"[""no_structured_assay_parameters""]",CHEMBL12,request_00013,/activities/4
320295,"[""no_structured_assay_parameters""]",CHEMBL12,request_00013,/activities/5
351494,"[""censored_or_nonexact_relation"", ""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00013,/activities/6
694101,"[""not_specific_protein_complex"", ""no_structured_assay_parameters""]",CHEMBL12,request_00013,/activities/7
701714,"[""censored_or_nonexact_relation"", ""no_structured_assay_parameters""]",CHEMBL12,request_00013,/activities/8
792166,"[""no_structured_assay_parameters""]",CHEMBL12,request_00013,/activities/9
792167,"[""no_structured_assay_parameters""]",CHEMBL12,request_00013,/activities/10
807853,"[""no_structured_assay_parameters""]",CHEMBL12,request_00013,/activities/11
1039770,"[""censored_or_nonexact_relation"", ""no_structured_assay_parameters""]",CHEMBL12,request_00013,/activities/12
1161714,"[""missing_standard_units"", ""no_structured_assay_parameters""]",CHEMBL12,request_00013,/activities/13
